id,puzzle,solution,clues,difficulty
218,7.598.1......16.....8...6..64....2....7....3.....5...7........33....25.62...6..81,765983142492516378138427659649738215527691834813254967986175423371842596254369781,25,0.0
2128,.74..9.2....4..7..5....2.6.8......16...........781..4...9..4...6.....2..14.98.3..,374569128216438759598172463835247916421695837967813542759324681683751294142986375,25,0.0
2869,..56.............4....293.......1895.2..8.71...1.6....5.....4...62.....8...4..9..,785634129293718654146529387637241895924385716851967243519876432462193578378452961,23,0.0
2914,...6.59....4.3.7.2.2.1..63..3.5..17............64.....1.......8..59.7...29....4..,317625984564839712829174635432598176951762843786413259173246598645987321298351467,25,0.0
3239,.3...964........7..8..61..95......1...6.8....17.....9.4...5..........58..2..74...,731529648659843172284761359548296713396187425172435896413958267967312584825674931,23,0.0
3595,..1....85...6...1....4.8...7....65.3........7...5.9.4.6..3..1..249...3..8..7..9..,431927685978635412562418739724186593195243867386579241657394128249851376813762954,25,0.0
4842,.....71.4....586.7....6..5.13.29...6.......82..4.......7....5.8.1..........4.2...,685327194341958627297164853138295476569741382724836915472619538816573249953482761,23,0.0
7196,..7...9.1.5......739.67.5....4.9..2.2..5.1....8..........7....9.293.....17......3,867452931452139867391678542714893625236541798985267314643715289529384176178926453,25,0.0
7351,....3.8.....7.........1..453...8.9..8.1....74..5....1....9.6..37..5......4....2.9,152634897486759132937218645374185926891362574625497318218946753769523481543871269,23,0.0
7449,8...54.2.....836..4........97.16...4..3...1....67....9..4..7.93..............841.,839654721712983645465271938978162354253849167146735289624517893381496572597328416,25,0.0
9019,....6.3......8.95.1..4.9...4...3.62.673.4......18.....7......8....7....1.9.......,849567312267183954135429876458931627673245198921876435716354289384792561592618743,23,0.0
10561,.2..3...7.....6.8.....14...6.4.9.5....31..4........67..827...............31..8..2,428539167195276384367814295674392518853167429219485673582741936746923851931658742,23,0.0
10596,7....2....5..6..83..1......9.87.1....4....6......5.....8..371.......6..44..5...3.,736842591254169783891375462968721345145983627327654918682437159513296874479518236,23,0.0
10866,..6...1...5.....4.....568..2.9...........3.5......94..7.2.18..61..2......8.94....,476892135958731642321456879219574368864123957537689421742318596193265784685947213,23,0.0
12545,.......817..39...68...5.......847..9.3....8.7....6......9..4.63...18..2...1...4..,695472381714398256823651794152847639936215847478963512589724163347186925261539478,25,0.0
13463,...48.....8.9...5......2.6.61.....49.2.1..3...7....6........9.8......23...431....,532486197786931452941752863615823749429167385873594621367245918158679234294318576,23,0.0
13486,....5.6..3.....9...25........6.782.128....49..5.3.........3...76..9.1......78.1..,819253674364817925725694318936478251287165493451329786192536847678941532543782169,25,0.0
16424,..854...3.9...2.6..6..3......2.19..83.....71.........25.....17.9.67....5.......8.,718546923493182567265937841672419358359268714841375692524893176986721435137654289,25,0.0
19882,1.3..5.2..7.86..9.........62.....8....41......987.2.3.......1.....3.6.....9.7....,163495728472861395985237416231659847754183269698742531546928173827316954319574682,23,0.0
19932,4....2.6..95........7.6.53...3...728....74..3...........45..98.....1...68.9.2....,431752869695348217287961534143695728528174693976283145714536982352819476869427351,25,0.0
21221,4...12..652...31....9..4...98...6.............5.8..472..129..6.........8...5..2..,438912756527683194619754823982476531374125689156839472741298365265347918893561247,25,0.0
22344,7......28.42..5...8.6.9......8.31..6...46......5..72.........45......3..37.......,793146528142875693856293417428531976937462851615987234269318745581724369374659182,23,0.0
22460,....8.7....85.....5..4....3..26.7.8..6...........1..95...8..3..6..7...1.83...1...,243186759978523146516479823392657481165948237487312695751894362624735918839261574,23,0.0
23001,.4....5..1....7....6...9.3.9.2..8..........8.......34.8.....7....32....1..97.1.24,347826519195347268268519437932458176514673982786192345821964753473285691659731824,23,0.0
25131,4.......2..9.48..7.61..29...2.....6.738...5..........1.4.9.....6......8.....71...,473169852259348617861752943124597368738216594596834271347985126615423789982671435,23,0.0
25244,.......919......8.78.3....6..4..3..8....9.21.3.8...7..6..........1568....7.......,243687591916245387785319426194723658567894213328156749652971834431568972879432165,23,0.0
25654,.......2.4..9....6....845....4....321.........58.1.6..275.....9.......8....6.9.1.,597361824481952376326784591764895132132476958958213647275138469619547283843629715,23,0.0
30137,..5....42.......6.8...16....8......53....24.151.........3...2.....78..93.4..6....,165938742439527168827416359782641935396852471514379826673195284251784693948263517,23,0.0
30594,..4...3.96......27.8........52.........5.64.....487....3.6....5.2....83....7..1..,274165389613894527985273641452319768897526413361487952139648275726951834548732196,23,0.0
31039,........2..63.1.45.5....16....5..8.48...9.....4.6..27.6...78..12....6.....7......,174865392986321745352947168769512834823794516541683279635478921298136457417259683,25,0.0
31093,5.....24.21....7....3..9.6...2.8.......31.......96.8.2..7.3.62.8......7..9.1.....,569871243218643795473259168932785416684312957751964832147538629825496371396127584,25,0.0
31284,48.3..7.......2..6..95......5..893.7....4.....17.....9..84.516..........36...1...,481396725573812496629574831254689317936147258817253649798435162142968573365721984,25,0.0
36319,....41..9....8972.4..6.....3...2.8..6..7......9...8.7.1.7.62..5.......1...4.....7,783241659516389724429657183375926841648715932291438576137862495962574318854193267,25,0.0
37762,...8...9...........3.521..67...........28.1......176..36....4.5.97..2...5..3..98.,175864293426739518938521746751643829649285137283917654362198475897452361514376982,25,0.0
37764,..87....293....5...1.3.8.....5....84..9.1.....4...36......29......5.12.....4.....,468795312937142568512368497325976184689214753741853629173629845894531276256487931,23,0.0
38433,.8..2.9...4...16....6..9258.3.5...2..72..8.....5.62.4.....7......7.........4....9,583627914249851673716349258631594827472138596895762341964273185157986432328415769,25,0.0
39155,.5.2.9..4..9....7.6..............5.....7.8.3..2......1.625..3....8.6..9.7....38..,153279684289645173674831925397412568416758239825396741962584317538167492741923856,23,0.0
41139,.1...2.4.2.......8...1....3....7852..7.4.......3.6..1...6.......3......94.78.6...,319682745254937168768145293691378524872451936543269817986513472135724689427896351,23,0.0
41957,873........46.......9.....4.2...9......7.5..6....241.8...8......5..9.6....2...75.,873941562514632897269578314728169435341785926695324178136857249457293681982416753,23,0.0
42993,2..6....4..8..5..7..3.......49........7.84.95.6.7........368....3.1..95..........,271693584698425137453871269849536712317284695562719843925368471736142958184957326,23,0.0
45836,.7..........3...4..1..6.9...9.7.5...6....431.....1...54..68...7..9...6...6.52..3.,374951286986372541512468973291735864657894312843216795435689127729143658168527439,25,0.0
46330,.......27....29......8.5...29...3.5.....6..4..3...26.....5....81...9....8.2....36,389614527715329864624875193296483751578961342431752689947536218163298475852147936,23,0.0
48740,...4..9...........1..65.4..4..9..76.9.2..5...7.........3.7....1.1...25.8.2..6....,275438916346219857198657432481923765962875143753146289539784621614392578827561394,23,0.0
48741,..9.1..3..2...6.87..8.9..46.5.6.4........8..5.8....4.......17..7.19..8.........5.,469817532123546987578293146957634218314728695682159473245381769731965824896472351,25,0.0
