id,puzzle,solution,clues,difficulty
218,7.598.1......16.....8...6..64....2....7....3.....5...7........33....25.62...6..81,765983142492516378138427659649738215527691834813254967986175423371842596254369781,25,0.0
419,.35..6.....1.....5....9...16.4.8..9....7....8.7..13.4.3..8.7.2........5.4.9.....6,935176284741238965862495731614582397293764518578913642356847129187629453429351876,25,2.3
761,69.........49........4..35.71.....6...829.1...5..3....5476..2.......2.....3.7..1.,695723481834951726271468359712584963368297145459136872547619238186342597923875614,25,1.5
1142,.8....7...5.9......37.5..6.2....4.9...4..9..3..3.78....2.6....1..6....52....8.4..,189436725652917348437852169218364597574129683963578214825643971346791852791285436,25,2.4
1387,..297........5..3.31.8....9.3..9..2...9....512..4...9.......5.......14.7.74.6....,862973145497156238315824679731695824649382751258417396183749562926531487574268913,25,1.3
2128,.74..9.2....4..7..5....2.6.8......16...........781..4...9..4...6.....2..14.98.3..,374569128216438759598172463835247916421695837967813542759324681683751294142986375,25,0.0
2869,..56.............4....293.......1895.2..8.71...1.6....5.....4...62.....8...4..9..,785634129293718654146529387637241895924385716851967243519876432462193578378452961,23,0.0
2900,..8.24....3..57.2..65..3...8.......7......39..57...64.3....6.........13...4.8.2..,718624953439157826265893471893462517642715398157938642321546789586279134974381265,25,1.4
2914,...6.59....4.3.7.2.2.1..63..3.5..17............64.....1.......8..59.7...29....4..,317625984564839712829174635432598176951762843786413259173246598645987321298351467,25,0.0
3239,.3...964........7..8..61..95......1...6.8....17.....9.4...5..........58..2..74...,731529648659843172284761359548296713396187425172435896413958267967312584825674931,23,0.0
3595,..1....85...6...1....4.8...7....65.3........7...5.9.4.6..3..1..249...3..8..7..9..,431927685978635412562418739724186593195243867386579241657394128249851376813762954,25,0.0
4842,.....71.4....586.7....6..5.13.29...6.......82..4.......7....5.8.1..........4.2...,685327194341958627297164853138295476569741382724836915472619538816573249953482761,23,0.0
5021,....2.95...86....1...7.1....4.26..7...9.8.5...5.......1......63...3...9.7.3..2..8,416823957578649321932751486341265879629187534857934612195478263284316795763592148,25,1.6
5435,4.2...7.85..79.3..3..........5......9..1........8....4..728......4.35.2........69,462513798518792346379648512825364971946157283731829654197286435684935127253471869,23,3.5
7196,..7...9.1.5......739.67.5....4.9..2.2..5.1....8..........7....9.293.....17......3,867452931452139867391678542714893625236541798985267314643715289529384176178926453,25,0.0
7351,....3.8.....7.........1..453...8.9..8.1....74..5....1....9.6..37..5......4....2.9,152634897486759132937218645374185926891362574625497318218946753769523481543871269,23,0.0
7449,8...54.2.....836..4........97.16...4..3...1....67....9..4..7.93..............841.,839654721712983645465271938978162354253849167146735289624517893381496572597328416,25,0.0
8326,.....9...7....81.42......37....3........9.6....5..7...4.3..6..5.51..49......1..6.,514379286736258194298641537169435872347892651825167349483926715651784923972513468,23,1.7
9019,....6.3......8.95.1..4.9...4...3.62.673.4......18.....7......8....7....1.9.......,849567312267183954135429876458931627673245198921876435716354289384792561592618743,23,0.0
