id,puzzle,solution,clues,difficulty
1134977,8....1...........6..58..7.3...36..279...5....5..2...9..8.7..2...4...6..9..3......,874631952392475186165892743418369527927154368536287491689743215741526839253918674,23,1.8
1152401,9.2........4.1...6.5...4..9....89...476.........7...1.8.1...2.....82..6..3...7...,912368745784915326653274189125489637476132598398756412861593274547821963239647851,23,1.8
1183057,6......8.....4736....29......6.2.....4..7..9.....8.7.3..2.3..78......9.57.4...1..,697513284125847369438296517876329451243175896519684723952431678381762945764958132,25,1.8
1195351,.1264.....7......8....8.9....5.2..4.....3.51.3....4..........3.9.....1..528.....9,812649753679351428453782961795128346284936517361574892146897235937265184528413679,23,1.8
1208073,.9.8.2...46.....7.5......3984...5...6..3...........46.....149.......3..2.25.8..4.,793852614462931578518476239841625793659347821237198465386214957974563182125789346,25,1.8
1215154,4...1.....1...85......5..28..7..9...8...4.....2....38..462...1..3.6..85....3...6.,485912736612738594973456128357829641869143275124567389746285913231694857598371462,25,1.8
1231333,......2.3..7.6.....3..49.8.6.5.8......2......84.6..79........21..9....5.3.45....7,496158273587263419231749586675984132912375648843612795758436921169827354324591867,25,1.8
1253332,3..74..2...15..........84....4.....8...3.72...75..19...58.3............2...6...1.,389746125741523689562918437134269578896357241275481963458132796617894352923675814,23,1.8
1264241,..8..2.1.1...........9..236....4...78..5........3..465.....5....1....8...46....23,368752914129634758475981236652149387834576192791328465283495671517263849946817523,23,1.8
1281270,.......7...1.5.......2.458.625.7.....34.8....1..3.....976..3.2......6..84.....1..,562138974841957362397264581625479813734681259189325647976813425213546798458792136,25,1.8
1320706,5..8..1.....49...67...13...27..3.4......4.....3....6.8.....98.....5..7...16....59,593867142128495376764213985275638491681942537439751628357129864942586713816374259,25,1.8
1329924,9.3.8.....28.6.....1..5.....6.............49...27.3.1...58....9......5...312....6,953482167428167953716359824164928375387516492592743618645871239279634581831295746,23,1.8
1337007,...4..769.97..........2.3..253.....1..48..6.3....5...........9...5......7.2..64..,821435769397168524546729318253647981174892653689351247468573192935214876712986435,23,1.8
1339815,2......3.16.4...5.....85...7.2.....1.....4.7.....96..3..42.76..31.5..............,258619734163472859479385126742853961936124578581796243894237615317568492625941387,23,1.8
1359423,....2..5.3....467...2.......93.....82.7...9..8...3.24....4....6..9..2....1.6..8.7,486327159351984672972516483193245768247168935865739241728451396639872514514693827,25,1.8
1360809,...7.1.....95.3..86.....95..35...78...7..2......1..5..89.........1..5..6.46...3..,458791263729563418613284957235649781187352694964178532892436175371925846546817329,25,1.8
1367253,......8..69.5...3.3...9...5..6.52..3.1...4.....8...4......16...4....798.........1,125743869694528137387691245946852713512374698738169452873916524451237986269485371,23,1.8
1388110,.4.3..5...2......7..3.1....8..9..2....4..836...92.3.4.6...3.......6.5..8.5...9...,146397582925486137783512496831964275274158369569273841692831754317645928458729613,25,1.8
1396621,...4.3..52..7.6..14.5.....3......6...49..831.....9..2..7..1.9..6....7.....2..5...,197483265238756491465129783823571649549268317716394528374812956651947832982635174,25,1.8
1419038,.4.....3....9.6...7.......49..5..4...3......1.51.8......8.91.27....3........7.85.,645127938183946275729358614976513482832764591451289763568491327297835146314672859,23,1.8
1423251,5.4.......164.7.......6..31.4........5.....18.7.8.13...8..53.9....1.26.........7.,534219867816437259927568431148395726253746918679821345782653194495172683361984572,25,1.8
1430803,......76...4....5...942.8.....2..57.7..6..2....6..81..4...19...1.35.....9...8....,832195764614837952579426831398241576741653289256978143465719328183562497927384615,25,1.8
1435702,....734...7.....2...38..69..513..........298.....6.1...87..5......9...6..12....5.,569273418478196523123854697851349276736512984294768135987625341345981762612437859,25,1.8
1438311,8..3...4.....7...197..48....1.2..........6.5.7.89....2..71....9234.....7....3....,862391745543672891971548623416253978329786154758914362687125439234869517195437286,25,1.8
1455331,..3.....5.51..46.9........7.27.15...8...2.......9......9..3.14.....6.7.26..4...3.,783196425251374689946582317427615893819723564365948271598237146134869752672451938,25,1.8
