id,puzzle,solution,clues,difficulty
2241075,..98.2.3..259...........5..3..4....7..4.....67.....9.....7..8.123..4....5....8...,679852134425913678183674592351469287894527316762381945946735821238146759517298463,23,0.0
2242233,....1...2.8.7.3.4...3..8.5..92.8...3...1..76.5....9....1.........9.7.2....5......,957614382286753941143298657692487513834125769571369824718532496469871235325946178,23,0.0
2244080,...4..3..9..5...821.8....9.....3..69.6.....7.....1....8....4...7.......1.4.37.6..,672498315934561782158723496415237869269845173387916254826154937793682541541379628,23,0.0
2244205,....4.7......3..5..2...51.8..8.79....51.....44...1....29.3.....6.3.8.......9.7.2.,539148762186732459724695138368479215951823674472516983297351846613284597845967321,25,0.0
2244776,2.6.1..37.35.....8...........2..5...34...2..9..76.3.1...3...........46...54..1.7.,286519437135746928479328156612495783348172569597683214963257841721834695854961372,25,0.0
2245102,...531........9.74.18.........8...5..4...78.......5..9........3....9..6.4.3.1.72.,274531698536289174918476532169843257345927816782165349621754983857392461493618725,23,0.0
2245275,..........47.........6.8..1....8..5.2....5.1.51...284.....4..6....7..2.3.79..6...,821497635647513928935628471796184352284365719513972846352849167468751293179236584,23,0.0
2245732,.....94..2......95..8..5.1..1.....4..59.2........847....6.......7.....3..2.1..8.7,563219478241678395798435216817356942459721683632984751386597124174862539925143867,23,0.0
2246556,5...2......24.....8....59.6..1...8..64...3...35..1..7..........21....4.....836...,567329148192468357834175926721654839649783512358912674983241765216597483475836291,23,0.0
2247543,.457..6...3...69.4.....2..1.....3.9.....5...75..6.1...1..3...79..2..........24.8.,245719638731586924869432751617243895423958167598671342184365279352897416976124583,25,0.0
2248243,....89..5...4.....4...2.8...5.1.6....7...4.....9...3.651.3...9....7......3..186.7,723689145185473962496521873352196784671834529849257316517362498968745231234918657,25,0.0
2248446,.8..12..3.......7.53...9.......8.9..7..45..1..5.7.1.8...9....3.....4......46.....,487512693912364875536879241641283957798456312253791486869125734325947168174638529,23,0.0
2248796,.2.......3.8...4.7.4...79.........4..19..4......51.2.8.31..2.7.8.....3.649.......,927438651358961427146257983583726149219384765764519238631892574872145396495673812,25,0.0
2249429,3.6.5..1........92.18.2.7.....3.5...7.5..2..9.......2...2....8.4..8...7..39.1....,326759814547681392918423756294375168785162439163948527672534981451896273839217645,25,0.0
2249723,..174.3...5.....893...1....24..6........7.5.8..81.3..4..........6..9.75...9..6...,921748365754632189386519247247865931613974528598123674135287496862491753479356812,25,0.0
